,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
172,412,jessica jones,1,5,1,25
173,413,raised by wolves,0,0,8,39
174,414,the amazing spider-man,1,3,8,0
175,415,dune: part two,1,3,1,14
176,416,avengers: age of ultron,1,3,8,0
177,417,the fifth element,1,3,8,0
178,418,transformers,1,3,8,0
179,419,prometheus,2,4,8,199
180,420,the world's end,1,11,8,174
181,421,the stand,2,1,0,28
182,422,star wars: episode vi - return of the jedi,1,3,0,2
183,423,a quiet place part ii,0,8,8,68
184,424,idiocracy,2,11,8,148
185,426,the twilight zone,0,0,7,57
186,614,ad astra,2,1,4,182
187,615,the empire strikes back,1,3,0,2
188,616,legends of tomorrow,1,3,1,14
189,617,the last of us,1,3,1,14
190,618,misfits,7,1,0,18
191,619,the falcon and the winter soldier,1,3,1,14
192,620,snowpiercer,1,1,8,8
193,621,sonic the hedgehog,1,3,10,6
194,622,godzilla vs. kong,1,10,11,159
195,623,star wars: episode vii - the force awakens,1,3,8,0
196,624,boku no hîrô akademia,4,2,3,50
197,625,captain america: civil war,1,3,8,0
198,626,logan,1,1,8,8
199,627,alf,7,9,8,191
200,628,fantastic four,1,3,8,0
201,629,star wars: episode ii - attack of the clones,1,3,0,2
202,630,the meg,1,8,8,4
203,631,the fountain,0,4,6,190
204,632,donnie darko,0,4,8,10
205,633,jigeum uri hakgyoneun,1,1,0,41
206,634,edge of tomorrow,1,3,8,0
207,635,armageddon,1,3,8,0
208,636,despicable me 3,4,3,10,13
209,637,adventure time,4,2,3,50
210,638,underwater,1,8,8,4
211,639,ready player one,1,3,8,0
212,640,starship troopers,1,3,8,0
213,641,about time,7,1,0,18
214,642,the man in the high castle,0,10,11,81
215,644,a quiet place,0,8,8,68
216,645,quantum leap,1,3,1,14
217,646,ant-man and the wasp: quantumania,1,3,10,6
218,647,her,0,7,8,35
219,648,the martian,2,1,8,34
220,649,dune,1,3,8,0
221,650,blindspot,1,5,1,25
222,651,big hero 6,4,2,3,50
223,652,lost in space,2,1,9,175
224,653,despicable me 2,4,3,10,13
225,654,predator,1,3,7,70
226,655,x-men,1,3,8,0
227,656,the oa,0,0,4,189
228,657,altered carbon,1,1,8,8
229,658,star wars: episode viii - the last jedi,1,3,0,2
230,659,the amazing spider-man 2,1,3,8,0
231,660,solo: a star wars story,1,3,8,0
232,661,justice league,1,3,0,2
